country,geo,indicator.name,indicator,year,tfr
French Guiana,guf,Total fertility rate,tfr,1802,6.27
French Polynesia,pyf,Total fertility rate,tfr,1802,5.97
Gabon,gab,Total fertility rate,tfr,1802,6.49
Gambia,gmb,Total fertility rate,tfr,1802,6.51
Georgia,geo,Total fertility rate,tfr,1802,7.8
Germany,deu,Total fertility rate,tfr,1802,5.39
Ghana,gha,Total fertility rate,tfr,1802,6.43
Greece,grc,Total fertility rate,tfr,1802,6.03
Greenland,grl,Total fertility rate,tfr,1802,4.88
Grenada,grd,Total fertility rate,tfr,1802,5.81
Guadeloupe,glp,Total fertility rate,tfr,1802,5.62
Guam,gum,Total fertility rate,tfr,1802,6.37
Guatemala,gtm,Total fertility rate,tfr,1802,6.45
Guinea,gin,Total fertility rate,tfr,1802,6.11
Guinea-Bissau,gnb,Total fertility rate,tfr,1802,7.25
Guyana,guy,Total fertility rate,tfr,1802,5.01
Haiti,hti,Total fertility rate,tfr,1802,6.31
Honduras,hnd,Total fertility rate,tfr,1802,6.05
"Hong Kong, China",hkg,Total fertility rate,tfr,1802,5.47
Hungary,hun,Total fertility rate,tfr,1802,5.18
Iceland,isl,Total fertility rate,tfr,1802,4.88
India,ind,Total fertility rate,tfr,1802,5.95
Indonesia,idn,Total fertility rate,tfr,1802,6.07
Iran,irn,Total fertility rate,tfr,1802,7.08
Iraq,irq,Total fertility rate,tfr,1802,7.13
Ireland,irl,Total fertility rate,tfr,1802,4.2
Israel,isr,Total fertility rate,tfr,1802,5.97
Italy,ita,Total fertility rate,tfr,1802,5.47
